Year,Month,eff_pr_usgs,pr_gridmet_from_huc12,pr_mean_from_hru,,,,,,
2000,1,4.040862,17.43297193,18.184141,,,Pivot Table,,,
2000,2,2.314253,52.38792315,52.77963716,,,Row Labels,eff_pr_usgs,pr_gridmet_from_huc12,fraction
2000,3,5.89339,17.72012329,18.49309805,,,2000,240.729046,255.1899185,0.943332901
2000,4,31.01278,15.90044021,16.44868383,,,2001,281.135254,182.4809333,1.540628102
2000,5,66.8498,42.37740792,42.06619292,,,2002,220.10834,153.9391183,1.429840202
2000,6,29.71278,7.703209088,7.740614194,,,2003,178.714696,207.0016747,0.863349035
2000,7,11.11644,1.368962579,1.231591148,,,2004,233.488078,252.3342347,0.925312724
2000,8,18.99793,36.52948994,36.28096756,,,2005,217.415352,321.8394564,0.675539769
2000,9,33.64641,5.523939253,5.64907075,,,2006,222.03388,217.8721211,1.019101842
2000,10,25.51935,48.44743839,48.37096963,,,2007,185.9894321,192.3930482,0.96671597
2000,11,7.661259,7.246777916,7.543280717,,,2008,217.661895,139.5438925,1.559809542
2000,12,3.963792,2.551234815,3.064382704,,,2009,194.657956,296.2056082,0.657171744
2001,1,2.504384,11.71286184,11.87962402,,,2010,126.051879,245.8466671,0.512725596
2001,2,3.883186,22.55930964,22.27696239,,,2011,228.313058,237.0675406,0.963071779
2001,3,9.016298,25.45909951,25.24657651,,,2012,269.173757,209.8770968,1.282530401
2001,4,21.16113,28.22226006,28.59291717,,,2013,293.077586,215.008817,1.363095663
2001,5,83.92916,1.146742491,1.184447695,,,2014,255.326507,261.5581547,0.976174906
2001,6,52.37147,0.075634559,0.211446414,,,2015,132.232218,277.0082282,0.477358448
2001,7,12.73891,21.09805483,21.10577469,,,2016,188.98746,253.9316165,0.744245489
2001,8,12.06216,10.79496174,10.73702112,,,2017,130.8964786,204.4662293,0.640186299
2001,9,34.54717,7.974435066,8.083597617,,,2018,188.225748,199.9947709,0.941153347
2001,10,34.67221,8.246259216,8.31219945,,,2019,132.710552,346.0288457,0.383524535
2001,11,10.4728,28.40396476,29.2134963,,,2020,210.410551,79.52385553,2.64587965
2001,12,3.776376,16.7873496,17.48973985,,,,,,
2002,1,3.148076,6.680903101,7.124571221,,,,,,
2002,2,6.489687,22.40454097,21.9974207,,,,,,
2002,3,9.935193,6.882847913,7.27157452,,,,,,
2002,4,21.53569,34.60926387,34.62178457,,,,,,
2002,5,50.44854,13.13738563,13.31539296,,,,,,
2002,6,58.95863,5.164735221,5.13186261,,,,,,
2002,7,16.56813,12.19191991,11.48366799,,,,,,
2002,8,12.37931,2.591358653,2.619204621,,,,,,
2002,9,13.90957,15.39413041,16.51407143,,,,,,
2002,10,17.21184,6.741240853,6.76029907,,,,,,
2002,11,5.405845,21.85692119,22.27846901,,,,,,
2002,12,4.117829,6.283870568,6.38378226,,,,,,
2003,1,3.96815,8.460097729,8.650056886,,,,,,
2003,2,3.254944,12.78227291,12.98451225,,,,,,
2003,3,5.808751,11.70685846,11.9046651,,,,,,
2003,4,10.92985,40.08038789,40.5410724,,,,,,
2003,5,38.97551,26.54621615,26.84862886,,,,,,
2003,6,13.19041,2.499873498,2.440263731,,,,,,
2003,7,16.77693,9.570437774,9.697944286,,,,,,
2003,8,22.10573,32.35612738,32.6015804,,,,,,
2003,9,14.9163,9.890577956,10.28453633,,,,,,
2003,10,40.46407,1.015029305,1.194135012,,,,,,
2003,11,5.765436,13.63408448,14.05572332,,,,,,
2003,12,2.558615,38.45971112,38.45592513,,,,,,
2004,1,8.418063,1.466022092,1.787257646,,,,,,
2004,2,5.638036,21.16691247,22.08186966,,,,,,
2004,3,12.30927,3.165556098,3.203029124,,,,,,
2004,4,23.6329,25.1784218,25.6539034,,,,,,
2004,5,70.16108,15.30488488,15.56739955,,,,,,
2004,6,9.885724,4.591593837,4.805776992,,,,,,
2004,7,23.25016,23.57047349,22.99434606,,,,,,
2004,8,20.11861,29.19822902,29.49967659,,,,,,
2004,9,30.05712,25.02926201,25.32652847,,,,,,
2004,10,21.9242,60.91423812,60.29811008,,,,,,
2004,11,5.185259,30.44349077,30.29548944,,,,,,
2004,12,2.907656,12.30515011,13.06772021,,,,,,
2005,1,2.324255,44.40967109,43.95912872,,,,,,
2005,2,2.48539,27.19692072,26.8874226,,,,,,
2005,3,6.013471,18.05764336,18.77292773,,,,,,
2005,4,15.02246,50.84871766,51.28413012,,,,,,
2005,5,55.32346,81.21397107,80.27134297,,,,,,
2005,6,49.56045,7.000424467,7.566465299,,,,,,
2005,7,19.61044,8.482456911,8.242918729,,,,,,
2005,8,20.54132,15.59554854,16.18485571,,,,,,
2005,9,12.69132,12.21764522,12.3938968,,,,,,
2005,10,20.93747,19.25060192,19.97941867,,,,,,
2005,11,8.646,24.37516559,25.14926088,,,,,,
2005,12,4.259316,13.19068989,13.89082039,,,,,,
2006,1,5.39892,28.88823727,28.61437145,,,,,,
2006,2,4.47832,21.81050723,21.90125904,,,,,,
2006,3,4.383236,33.78983508,34.18890066,,,,,,
2006,4,18.44632,33.72091465,34.24631565,,,,,,
2006,5,79.78384,9.887822658,10.1391679,,,,,,
2006,6,25.97255,11.69475217,11.43905541,,,,,,
2006,7,19.67008,21.68299333,21.29926201,,,,,,
2006,8,15.75481,2.462895255,2.538368548,,,,,,
2006,9,13.4295,4.946204605,5.345296272,,,,,,
2006,10,20.39376,24.64521158,24.55666443,,,,,,
2006,11,8.666847,14.52843345,14.91396474,,,,,,
2006,12,5.655697,9.814313802,10.06968611,,,,,,
2007,1,4.879953,6.566415336,6.53007745,,,,,,
2007,2,5.997477,24.47142982,24.63815504,,,,,,
2007,3,10.82559,18.7210764,18.77486322,,,,,,
2007,4,20.50189,18.210451,18.5773769,,,,,,
2007,5,80.59277,12.88096545,12.77855247,,,,,,
2007,6,31.68304,10.79693998,10.96927304,,,,,,
2007,7,-8.780349,9.222055829,9.134598244,,,,,,
2007,8,-1.739901,28.22407246,27.64510186,,,,,,
2007,9,0.6689801,20.53246853,21.15938673,,,,,,
2007,10,22.64566,11.55665611,12.0094402,,,,,,
2007,11,13.35295,5.813091415,5.906309657,,,,,,
2007,12,5.361372,25.39742585,25.33598224,,,,,,
2008,1,5.41133,24.94593628,24.92909425,,,,,,
2008,2,7.086185,15.49345882,16.77526527,,,,,,
2008,3,10.94962,5.387428236,5.805603576,,,,,,
2008,4,20.92522,3.415902645,3.96824165,,,,,,
2008,5,58.44164,12.74477643,13.44517007,,,,,,
2008,6,52.78923,3.632065628,4.376525964,,,,,,
2008,7,-4.824758,15.98386216,14.67424224,,,,,,
2008,8,-7.68689,7.233971113,7.516101875,,,,,,
2008,9,37.48345,8.81646477,8.656363103,,,,,,
2008,10,24.98194,8.997054789,9.470916033,,,,,,
2008,11,8.825617,16.29571272,16.94859171,,,,,,
2008,12,3.279311,16.5972589,16.92912964,,,,,,
2009,1,4.731638,26.2147305,25.93063121,,,,,,
2009,2,3.676834,21.25078083,21.5600999,,,,,,
2009,3,8.58903,14.80462926,14.6750006,,,,,,
2009,4,20.99964,59.26817432,58.13858671,,,,,,
2009,5,49.74217,24.882261,23.88702971,,,,,,
2009,6,35.15079,67.66676008,67.19205765,,,,,,
2009,7,17.59434,13.59419265,12.92408292,,,,,,
2009,8,18.42757,17.97361194,18.16858879,,,,,,
2009,9,10.15894,5.872289014,6.340461011,,,,,,
2009,10,15.18401,19.82896035,20.02793921,,,,,,
2009,11,8.59076,1.315007949,1.404372353,,,,,,
2009,12,1.812234,23.53421034,22.94989596,,,,,,
2010,1,3.081912,6.049978717,6.003332413,,,,,,
2010,2,3.759412,11.93388993,11.25467784,,,,,,
2010,3,7.027433,36.53515741,34.27737282,,,,,,
2010,4,17.6015,14.98025399,15.0881554,,,,,,
2010,5,34.65185,23.24719606,23.66544876,,,,,,
2010,6,61.17378,0.441576298,0.340131679,,,,,,
2010,7,-7.859522,15.63027333,14.87944683,,,,,,
2010,8,-13.63426,0,0.04297791,,,,,,
2010,9,-3.740183,14.52464876,14.35070018,,,,,,
2010,10,12.54848,47.25896824,47.20018828,,,,,,
2010,11,8.764863,42.06775265,41.75221173,,,,,,
2010,12,2.676614,33.17697169,34.86334289,,,,,,
2011,1,1.965951,2.724185623,2.915139227,,,,,,
2011,2,1.82202,16.30864689,16.30746894,,,,,,
2011,3,6.277644,32.22516648,32.53320323,,,,,,
2011,4,10.72393,34.79788475,35.1502746,,,,,,
2011,5,35.5952,52.02462828,52.17172462,,,,,,
2011,6,75.56328,11.00452223,10.66132854,,,,,,
2011,7,26.41264,20.60682976,20.51179579,,,,,,
2011,8,21.84691,17.37933222,17.31023495,,,,,,
2011,9,15.89981,15.72767234,16.15982281,,,,,,
2011,10,23.37918,26.01374229,25.84243247,,,,,,
2011,11,7.277351,7.947984518,8.172062802,,,,,,
2011,12,1.549142,0.306945255,0.438894969,,,,,,
2012,1,1.773013,15.07693482,15.33952321,,,,,,
2012,2,3.010222,16.45940799,16.07717861,,,,,,
2012,3,11.13636,26.58755663,26.56454356,,,,,,
2012,4,27.80456,12.56181924,12.86972227,,,,,,
2012,5,79.67346,6.808814883,6.985336089,,,,,,
2012,6,57.79899,1.087310373,1.073473096,,,,,,
2012,7,17.53935,26.12139847,25.42443362,,,,,,
2012,8,20.15654,30.17026687,29.41540731,,,,,,
2012,9,14.43378,23.03319084,23.51399404,,,,,,
2012,10,15.01201,6.355426366,6.456101918,,,,,,
2012,11,14.84986,8.823739578,8.911454874,,,,,,
2012,12,5.985612,36.7912307,37.10379409,,,,,,
2013,1,2.902601,16.21367887,16.13881648,,,,,,
2013,2,3.644091,14.40728152,14.55868625,,,,,,
2013,3,8.229338,6.240394608,6.396136326,,,,,,
2013,4,26.71522,16.37456333,16.50841454,,,,,,
2013,5,76.6675,15.54478941,15.78069551,,,,,,
2013,6,82.97398,0.680921081,0.641085028,,,,,,
2013,7,21.07691,20.12729336,19.38772781,,,,,,
2013,8,16.00891,15.27010866,15.90665919,,,,,,
2013,9,29.35632,57.15165768,59.1661332,,,,,,
2013,10,14.57068,15.81610926,16.23929981,,,,,,
2013,11,7.262006,16.3196278,16.67864452,,,,,,
2013,12,3.67003,20.86239142,21.97874264,,,,,,
2014,1,7.090459,11.94971699,12.28254841,,,,,,
2014,2,9.211431,38.92830494,39.80993404,,,,,,
2014,3,10.49338,13.87741905,14.13902601,,,,,,
2014,4,23.80399,24.15837987,24.17951465,,,,,,
2014,5,75.39077,28.05633757,27.93318299,,,,,,
2014,6,73.82031,1.372550162,1.593676377,,,,,,
2014,7,-2.648579,18.72593792,18.38009635,,,,,,
2014,8,15.07642,57.29414094,57.83016102,,,,,,
2014,9,4.722037,29.29380399,28.95938778,,,,,,
2014,10,24.61042,0.00000401,0.026526886,,,,,,
2014,11,10.32977,9.693860326,10.24000842,,,,,,
2014,12,3.426099,28.20769889,29.15282727,,,,,,
2015,1,3.955086,5.243489139,5.846854454,,,,,,
2015,2,8.404214,5.47133769,6.106376781,,,,,,
2015,3,15.60672,5.969509121,5.784562121,,,,,,
2015,4,34.99078,8.340331494,9.365426378,,,,,,
2015,5,45.72952,55.09330698,56.74980228,,,,,,
2015,6,-8.610371,7.741946259,8.032182442,,,,,,
2015,7,1.573514,25.26219908,25.58190845,,,,,,
2015,8,-1.158364,27.42022333,26.20157107,,,,,,
2015,9,4.591538,30.72359686,30.86404691,,,,,,
2015,10,15.71676,46.36245463,47.59562612,,,,,,
2015,11,7.44606,25.99316306,27.14378847,,,,,,
2015,12,3.986761,33.3866706,34.41410353,,,,,,
2016,1,6.062292,27.68685947,32.83978599,,,,,,
2016,2,7.259898,8.763477906,21.54197587,,,,,,
2016,3,8.01259,18.71325021,17.28237328,,,,,,
2016,4,25.77857,56.71614605,53.46243795,,,,,,
2016,5,46.99079,30.67321925,28.10947829,,,,,,
2016,6,18.39509,13.31913972,14.28010463,,,,,,
2016,7,13.45295,0.717867503,0.648913207,,,,,,
2016,8,14.26001,2.804445831,3.159786786,,,,,,
2016,9,17.09529,34.55564774,34.70769333,,,,,,
2016,10,16.49976,19.03469771,16.56750738,,,,,,
2016,11,10.38216,18.25226244,21.44059609,,,,,,
2016,12,4.79806,22.69460269,26.48493386,,,,,,
2017,1,4.838965,26.82045842,29.43611708,,,,,,
2017,2,5.294308,16.96758143,18.20795418,,,,,,
2017,3,8.458234,28.4467771,28.59064878,,,,,,
2017,4,23.04319,37.57832688,37.18995229,,,,,,
2017,5,52.12549,14.04555928,14.15891225,,,,,,
2017,6,-0.9545194,7.896704345,8.210167315,,,,,,
2017,7,-3.764126,9.020375142,8.433952407,,,,,,
2017,8,-2.320536,8.33966468,8.046470486,,,,,,
2017,9,7.802831,27.53209063,28.95202552,,,,,,
2017,10,18.38282,6.305849592,5.878565192,,,,,,
2017,11,13.27294,21.4058507,22.32323764,,,,,,
2017,12,4.716882,0.106991097,0.402820374,,,,,,
2018,1,4.919004,9.009714853,9.624372179,,,,,,
2018,2,7.011387,6.295350286,6.776290688,,,,,,
2018,3,6.408088,43.56739154,43.34724278,,,,,,
2018,4,21.39881,14.64676283,15.15966168,,,,,,
2018,5,47.98517,41.76243068,42.27282535,,,,,,
2018,6,17.82777,1.707160773,1.65264862,,,,,,
2018,7,22.05936,14.58304275,14.10273352,,,,,,
2018,8,18.52242,0.936499974,1.395051868,,,,,,
2018,9,9.037817,0.106786908,0.129219019,,,,,,
2018,10,21.08597,31.52446711,31.05178439,,,,,,
2018,11,9.188962,19.7535567,20.13484692,,,,,,
2018,12,2.78099,16.10160652,16.51142848,,,,,,
2019,1,2.980205,19.83225735,20.04504754,,,,,,
2019,2,3.952683,58.82765531,58.13473134,,,,,,
2019,3,6.052033,54.84914888,53.89465206,,,,,,
2019,4,25.93476,34.18195464,34.51976059,,,,,,
2019,5,52.33796,101.002432,97.61721027,,,,,,
2019,6,32.28354,8.299278957,7.551156708,,,,,,
2019,7,-10.00542,8.54415487,7.88022828,,,,,,
2019,8,-12.94385,2.23447954,2.130816392,,,,,,
2019,9,-2.984338,15.34405375,15.63569717,,,,,,
2019,10,22.44229,0.006695722,0.062618449,,,,,,
2019,11,8.183997,18.40415346,18.80228907,,,,,,
2019,12,4.476692,24.50258122,25.36391458,,,,,,
2020,1,5.163081,5.958291247,6.462205606,,,,,,
2020,2,5.090276,1.640755921,2.025310579,,,,,,
2020,3,7.017378,10.18833843,11.30173965,,,,,,
2020,4,29.46999,9.136268825,9.945194044,,,,,,
2020,5,87.31375,12.4753475,12.96206255,,,,,,
2020,6,29.23551,4.513299798,4.704694975,,,,,,
2020,7,-11.18496,1.945501806,2.014561475,,,,,,
2020,8,-10.83538,6.976146517,6.664115671,,,,,,
2020,9,15.84592,2.694285485,2.807522704,,,,,,
2020,10,38.28824,0,0,,,,,,
2020,11,12.37052,10.66833198,10.61049572,,,,,,
2020,12,2.636226,13.32728802,13.15482313,,,,,,
